time	flux	sflux
----	----	-----
58095.590344	0.997671	0.000008
58095.835570	0.997668	0.000010
58096.091013	0.997279	0.000009
58096.346456	0.997281	0.000012
58096.591682	0.997027	0.000008
58096.847126	0.996962	0.000009
58097.082134	0.996750	0.000010
58097.327360	0.996557	0.000009
58097.633892	0.996354	0.000010
58097.838247	0.996266	0.000009
58098.093691	0.996240	0.000010
58098.287829	0.996181	0.000012
58098.614797	0.996205	0.000009
58098.880458	0.996358	0.000010
58099.095031	0.996478	0.000009
58099.350475	0.996607	0.000009
58099.605919	0.996791	0.000009
58099.851146	0.996995	0.000009
58100.116808	0.997225	0.000010
58100.362034	0.997550	0.000010
58100.597043	0.997666	0.000008
58100.872923	0.998026	0.000010
58101.118149	0.998425	0.000010
58101.353158	0.998699	0.000009
58101.608602	0.999178	0.000010
58101.864047	0.999622	0.000009
58102.099056	1.000075	0.000009
58102.364718	1.000556	0.000010
58102.589509	1.000910	0.000009
58102.865389	1.001390	0.000009
58103.120834	1.001871	0.000010
58103.355843	1.002244	0.000009
58103.590852	1.002571	0.000009
58103.846297	1.003043	0.000010
58104.101741	1.003451	0.000010
58104.357186	1.003837	0.000009
58104.581978	1.004169	0.000009
58104.837423	1.004463	0.000010
58105.092867	1.004726	0.000009
58105.348312	1.004985	0.000009
58105.573104	1.005208	0.000010
58105.848984	1.005520	0.000009
58106.083994	1.005720	0.000010
58106.329221	1.005772	0.000010
58106.574448	1.005876	0.000010
58106.829893	1.005926	0.000009
58107.085338	1.005914	0.000009
58107.330565	1.005845	0.000010
58107.596229	1.005803	0.000009
58107.821020	1.005681	0.000010
58108.076465	1.005511	0.000009
58108.352346	1.005200	0.000009
58108.577138	1.004901	0.000010
58108.822366	1.004580	0.000010
58109.088029	1.004185	0.000009
58109.333256	1.003877	0.000010
58109.578484	1.003480	0.000010
58109.844147	1.003069	0.000009
58110.079157	1.002678	0.000009
58110.355038	1.002361	0.000010
58110.600265	1.002093	0.000010
58110.845493	1.001666	0.000010
58111.100938	1.001382	0.000009
58111.376819	1.000913	0.000010
58111.622047	1.000555	0.000010
58111.846839	1.000310	0.000009
58112.122720	0.999889	0.000009
58112.378166	0.999662	0.000010
58112.623394	0.999523	0.000010
58112.868621	0.999382	0.000010
58113.103631	0.999372	0.000009
58113.348859	0.999361	0.000008
58113.604305	0.999437	0.000009
58113.869968	0.999648	0.000010
58114.115196	0.999900	0.000010
58114.370642	1.000231	0.000009
58114.595434	1.000469	0.000010
58114.891751	1.000915	0.000011
58115.106325	1.001157	0.000009
58115.361771	1.001477	0.000009
58115.606999	1.001844	0.000009
58115.872663	1.002142	0.000010
58116.117891	1.002367	0.000010
58116.312029	1.002540	0.000010
58116.618564	1.002770	0.000010
58116.874010	1.002973	0.000010
58117.098802	1.003035	0.000010
58117.364466	1.003018	0.000009
58117.589258	1.002980	0.000010
58117.844704	1.002899	0.000009
58118.079714	1.002684	0.000010
58118.335160	1.002352	0.000009
58118.580388	1.002025	0.000009
58118.784745	1.001760	0.000014
58119.152587	1.001139	0.000012
58119.326290	1.000723	0.000010
58119.602172	1.000155	0.000008
58119.837182	0.999689	0.000010
58120.082410	0.999190	0.000010
58120.317420	0.998774	0.000010
58120.593302	0.998388	0.000009
58120.818094	0.998071	0.000011
58121.104193	0.997694	0.000009
58121.349421	0.997274	0.000009
58121.584432	0.996979	0.000009
58121.839877	0.996468	0.000010
58122.095323	0.996133	0.000009
58122.330333	0.995858	0.000010
58122.585779	0.995562	0.000009
58122.851443	0.995386	0.000009
58123.096671	0.995295	0.000009
58123.341899	0.995152	0.000009
58123.597345	0.995120	0.000010
58123.873226	0.995084	0.000009
58124.108237	0.995117	0.000009
58124.373900	0.995208	0.000010
