#   size of mask=      54.0000 s
#     mean LC =   2.2600514e+09
#  optimal aperture, centroid not target, jitter correction not done
#   mag=      9.90800
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       1933.4819       61.599770       41.771953       57.222060
        58095.4676824090711307       0.9998034915229631       0.0000213173144561        -3.8537575005E-03        -3.0533654510E-02
        58095.4881177610077430       0.9997589061140673       0.0000213176997025        -2.3212576854E-03        -1.7676163455E-02
        58095.5085532134107780       0.9999434197247824       0.0000213197491575         4.2127021971E-03        -1.2481122511E-02
        58095.5289887660401291       1.0000860907248570       0.0000213212929262         6.6517338760E-03        -7.9594180510E-03
        58095.5494241189080640       1.0002858042121761       0.0000213234100664         4.8448194447E-03        -7.5956964886E-03
        58095.5698596722431830       1.0003974124594588       0.0000213236230837         1.9722672419E-05        -5.6433005706E-03
        58095.5902951258030953       1.0007551279072002       0.0000213261001322        -4.1508694840E-03        -1.4164675313E-04
        58095.6107304797187680       1.0006193656372004       0.0000213235778345        -1.1755877336E-04         4.8112695309E-03
        58095.6311660338687943       1.0007078502939848       0.0000213227344197         7.0020357610E-04         9.6590347960E-03
        58095.6516014883600292       1.0007512063538075       0.0000213221745057        -1.5929916246E-03         1.1462750024E-02
        58095.6720368432070245       1.0007879978128886       0.0000213216176727        -5.4917672519E-03         9.8818595792E-03
        58095.6924723984047887       1.0006952667056903       0.0000213195723885        -6.6626712881E-03         9.4320046206E-03
        58095.7129078538273461       1.0005687917899690       0.0000213171414420        -8.6077063379E-03         1.0830497462E-02
        58095.7333432096056640       1.0005183388670440       0.0000213169694294        -9.8683556564E-03         1.8013808730E-02
        58095.7537787656183355       1.0004238151723635       0.0000213137935052        -1.1301144133E-02         2.7131088507E-02
        58095.7742142219722155       1.0004238889422059       0.0000213122501971        -1.3716339449E-02         3.6250349815E-02
        58095.7946496786826174       1.0003380990167201       0.0000213099018962        -1.8347302961E-02         4.4419080969E-02
        58095.8355205930274678       1.0003185740051357       0.0000213046474233        -1.8553527128E-02         4.9680494692E-02
        58095.8559560506691923       1.0003477995916354       0.0000213029176430        -1.9251354905E-02         5.4714257327E-02
        58095.9172624253333197       1.0002632479017617       0.0000213168928410         6.0943584619E-03        -3.1498235928E-02
        58095.9376978841391974       1.0003112625001145       0.0000213179451975         6.7578911191E-03        -2.0922064778E-02
        58095.9581333432870451       1.0005549482748524       0.0000213205513854         1.0437170565E-02        -1.7839653889E-02
        58095.9785688027914148       1.0007640130373832       0.0000213227753489         1.2887839710E-02        -1.3377005131E-02
        58095.9990042626450304       1.0009540927529221       0.0000213251465460         1.1864578945E-02        -9.9034754631E-03
        58096.0194397227242007       1.0010504689531994       0.0000213272480093         7.3986186951E-03        -8.2967626171E-03
        58096.0398752830442390       1.0009589415819873       0.0000213254580841         4.3069165132E-03        -6.3293708211E-03
        58096.0603106438284158       1.0010786693488676       0.0000213255114771         6.5674010818E-03        -4.9709110798E-03
        58096.0807461047224933       1.0010881663400977       0.0000213234678768         6.8583582720E-03        -1.1875608316E-03
        58096.1011816660902696       1.0011153078014312       0.0000213225424639         6.5598709649E-03        -1.9641011352E-05
        58096.1216170276893536       1.0010538093082058       0.0000213204113284         3.7724127513E-03        -3.4707651294E-03
        58096.1420524896311690       1.0010226845436565       0.0000213181157717         2.2191656539E-03        -5.7123924454E-03
        58096.1624880519302678       1.0009573479650429       0.0000213184323259         6.7197125379E-04        -4.4648261558E-03
        58096.1829234144606744       1.0008873789218107       0.0000213169582219         1.8959967263E-03        -2.1459223556E-03
        58096.2033588773338124       1.0008165091371284       0.0000213154398472         1.3622919481E-03         4.9149329627E-03
        58096.2237944404478185       1.0007682266290279       0.0000213144624096        -1.1572616746E-04         1.2351598074E-02
        58096.3055362961531500       1.0009135918004353       0.0000213151615930        -7.5639903999E-03         3.0385638986E-02
        58096.3259717607725179       1.0008626005503716       0.0000213126980621        -1.0599980486E-02         3.5893702414E-02
        58096.3464072257484077       1.0009008973048388       0.0000213125169092        -1.0678334276E-02         3.7115094704E-02
        58096.4077136225314462       1.0013329005404685       0.0000213342885890         6.9834352427E-03        -7.5868350921E-03
        58096.4281490887879045       1.0013246326070400       0.0000213332003081         5.7343842716E-03        -7.1500204077E-03
