#   size of mask=       180.0000
#     mean LC =   3.2491214e+09
# full imagette as aperture, centroid not target, jitter correction not done
#   mag=      9.63600
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       1194.9428       100.11948       82.051978       131.50767
        58095.4673048245895188       0.9981208094265921       0.0000181418852718         4.4207324249E-03         1.1832370683E-02
        58095.4877401097037364       0.9981931683575743       0.0000181438738546         3.7391486479E-03         9.9326088068E-03
        58095.5081754950515460       0.9982529241398732       0.0000181464080480         3.4178876572E-03         6.4952952041E-03
        58095.5286109808585024       0.9981711495213469       0.0000181454807574         1.5710319386E-03         5.5318650853E-03
        58095.5490462669040426       0.9979677686029315       0.0000181435186269         6.4644288401E-04         3.6425867342E-03
        58095.5694817534167669       0.9980437745189108       0.0000181441923855         3.2590933494E-04         2.1197145398E-03
        58095.5899171403871151       0.9977253272318843       0.0000181417505826         2.3266525518E-03         5.1575791613E-03
        58095.6103524275968084       0.9979544793903874       0.0000181441406864         3.2644451459E-04         6.7282405699E-03
        58095.6307879152736859       0.9977706060787205       0.0000181436957241        -1.0231798348E-03         3.3123470843E-03
        58095.6512233031753567       0.9976831741467207       0.0000181428657943        -5.8350454384E-04         2.3555485545E-03
        58095.6716585913163726       0.9977586837200818       0.0000181449627130        -2.1596258368E-04         1.5072211552E-03
        58095.6920940801574034       0.9978367789595290       0.0000181462372337        -2.1629516926E-05         3.0169081659E-03
        58095.7125294692232274       0.9977236250221272       0.0000181454734970        -3.6096077194E-04         3.7776015652E-03
        58095.7738356382978964       0.9977401753926800       0.0000181315535952        -1.7346148002E-04        -7.6769755587E-03
        58095.7942710287679802       0.9976173947458434       0.0000181296148830         2.9226873686E-04        -1.3474766934E-02
        58095.8147064197037253       0.9977545496880376       0.0000181280812865         6.3783479441E-04        -1.4319429934E-02
        58095.8351418108650250       0.9980009254673193       0.0000181253996190         2.7084978458E-04        -1.3524108114E-02
        58095.8555772024992621       0.9980736952672701       0.0000181234506149         1.4391243495E-03        -1.0458421640E-02
        58095.9781895592750516       0.9990795224306170       0.0000181362281271         5.3729061622E-04        -7.0196770924E-03
        58095.9986249532375950       0.9988810036275221       0.0000181362723043        -1.0033946894E-03        -8.9532014220E-03
        58096.0190603476585238       0.9987998646339767       0.0000181357493564        -5.8046955396E-04        -3.3738223368E-03
        58096.0394958423203207       0.9988883663788413       0.0000181352995254         8.5767304087E-04         5.8755490863E-04
        58096.0599311374462559       0.9988350100330614       0.0000181358800227         1.0098697014E-03         2.4442419055E-03
        58096.0803665330313379       0.9988092613632964       0.0000181340413315        -1.0955782860E-03        -2.5718982773E-03
        58096.1008020288572880       0.9987867718267759       0.0000181334689090        -6.0093680512E-04        -1.9542852878E-03
        58096.1212373249145458       0.9986073054327388       0.0000181315333054        -9.3665214469E-04        -1.8665142673E-03
        58096.1416727214309503       0.9985542392199105       0.0000181291517596        -9.3145018579E-04        -2.7528765814E-03
        58096.1621082184210536       0.9985329262523535       0.0000181282301828        -2.3637777072E-04        -2.4632488079E-03
        58096.1825435156424646       0.9985751000388737       0.0000181277557712        -3.6938723908E-04        -5.7818016513E-04
        58096.2029789133230224       0.9984428535995895       0.0000181261158974        -1.0634131769E-03        -4.3038113174E-03
        58096.2234144112444483       0.9983028780895783       0.0000181263427217        -1.0529854077E-03        -1.0829960815E-02
        58096.2847206073274720       0.9981933531357626       0.0000181312901578        -2.2689713454E-04        -1.2507182182E-02
        58096.3051560066451202       0.9982215855761237       0.0000181291616688         9.8932242573E-04        -6.5115312814E-03
        58096.3255914064211538       0.9984530272945470       0.0000181281012912         1.6216631058E-03        -3.8707299054E-03
        58096.3460268064372940       0.9985019954603673       0.0000181253253136         1.6649994222E-04        -2.8477931652E-03
        58096.4073330088067451       0.9990796211047074       0.0000181386634421        -8.1464067424E-04        -1.1193819794E-03
        58096.4277684102198691       0.9990120913588825       0.0000181375838998         8.1190064779E-04         1.7631113584E-03
        58096.4482039120921399       0.9990691420663144       0.0000181388864087        -1.0780342720E-03         1.3195648081E-03
        58096.4686392144358251       0.9988699922999854       0.0000181367887179        -1.4130910677E-03         4.1260499806E-04
        58096.4890746170131024       0.9988050578350023       0.0000181358882004        -6.7805832617E-04         1.2821074239E-03
        58096.5095101198166958       0.9987770318279344       0.0000181355695409        -1.6742542287E-03        -5.6767695682E-04
        58096.5299454230917036       0.9986749618999577       0.0000181340268415        -9.3505000615E-04        -1.9464311919E-03
        58096.5503808266003034       0.9988247080487954       0.0000181360108941        -1.1071006075E-03        -7.2944485146E-04
        58096.5708163305680500       0.9987354731808955       0.0000181346889755        -3.3682365517E-04        -3.7492104884E-04
        58096.5912516350072110       0.9985730101240762       0.0000181330401836         3.4438356132E-04        -1.0006832853E-03
        58096.6116871396807255       0.9985549611615979       0.0000181328383794        -7.5644775133E-04        -4.1140672100E-03
        58096.6321225445790333       0.9985040253200748       0.0000181309463658         3.4395857378E-04        -8.6354820542E-03
        58096.6525578499495168       0.9983103980595847       0.0000181274064809        -1.2831050513E-05        -6.7067082261E-03
        58096.6729933557799086       0.9983444614122534       0.0000181253533167         1.0345441608E-03        -4.7115770034E-03
